eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
13889459.26186074,0.0,13795186.227800727,114083.71298196592,819157.6793675461
14007104.505958548,0.0,13736038.427127276,23816.428240436195,816280.2964277501
13849728.832988808,449276.9208949613,13370307.404630134,0.0,810351.0571873971
13941936.104111036,0.0,13748133.058656773,0.0,815969.7787366293
14076035.122602442,0.0,13551289.065832146,0.0,804667.6447089774
14019977.778792176,0.0,13504203.746250447,152704.50870998064,813883.4429079781
14011598.264338896,0.0,13626816.143384025,129127.99098018935,814883.7306285041
13611312.06912623,783900.8074367092,13318962.603520121,0.0,827358.3588485618
13881700.713033976,0.0,13469724.744132416,581117.6705742588,826114.4047747336
13752090.3630971,418272.6269935339,13305749.148049654,370337.3292264126,828074.4603830362
13748404.546828205,36086.19498169562,13481840.937787341,607822.4886616968,823855.8380743347
13685217.135557221,449655.24193777255,13556619.229162363,0.0,822231.5933791681
13556671.478592927,811368.7380758473,13241388.407232605,223734.65052607653,831960.1387386655
13848258.662497073,129627.49477242738,13699939.754671592,84627.06114307545,820359.5043189621
13702119.423077816,498390.3502344306,13517182.464984627,0.0,816401.8506910915
13991964.957994262,0.0,13655222.306443423,0.0,811791.5393561887
13886416.869655728,477078.328708524,13197552.795387402,139871.55568918848,813476.0098771438
13770027.008446967,696570.2794230784,13205834.886940842,0.0,817103.3133439104
14032044.407126011,0.0,13246304.892633427,599033.5127184587,815700.069172806
13927178.310049033,0.0,13597599.899518121,197265.7233375618,815306.360861194
13732583.464471256,22405.882324568574,14028326.913050108,0.0,816231.4703714221
13712030.469829949,547954.156982383,13445548.339378623,147235.87187792783,824738.3655530816
13933386.472190186,0.0,13829265.384446975,0.0,812519.9781082267
13670398.081335852,409197.12290330726,13669589.212815061,0.0,823656.3676133609
13776843.087127864,379109.9269447083,13547962.18092365,39966.229831216144,816940.0778600224
13769832.450127253,488476.05858513474,13322239.659515984,197489.4216560196,814432.7677819149
14035423.536909875,0.0,13649452.939715777,0.0,806441.6665277303
13749319.539826628,679154.6819382916,13181255.884585008,267863.10062045435,820568.7246461137
13701367.815895757,928172.8146478629,13175663.035479909,0.0,824273.717219266
13872205.079293998,78270.4459941211,13742711.716871688,0.0,813340.7315480665
13755181.441731226,244566.01556631754,13709815.968905091,0.0,821686.4947577857
13745789.4256358,0.0,13729121.36631681,258651.23687227178,822685.6501472694
